Mon Nov 18 19:19:10 2013    OptParseTest_profile.txt

         1943 function calls (1898 primitive calls) in 0.002 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 optparse.py:1242(_create_option_list)
        2    0.000    0.000    0.000    0.000 {_sre.compile}
        1    0.000    0.000    0.000    0.000 optparse.py:1570(exit)
       21    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
        1    0.000    0.000    0.000    0.000 optparse.py:837(__init__)
        5    0.000    0.000    0.000    0.000 optparse.py:832(isbasestring)
        5    0.000    0.000    0.000    0.000 optparse.py:980(_check_conflict)
        5    0.000    0.000    0.000    0.000 optparse.py:635(_check_type)
        5    0.000    0.000    0.000    0.000 optparse.py:629(_check_action)
        1    0.000    0.000    0.000    0.000 optparse.py:1309(set_defaults)
       16    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
        5    0.000    0.000    0.000    0.000 optparse.py:678(_check_dest)
        4    0.000    0.000    0.000    0.000 sre_compile.py:474(isstring)
       11    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        3    0.000    0.000    0.000    0.000 ntpath.py:122(splitdrive)
        5    0.000    0.000    0.000    0.000 sre_parse.py:257(_escape)
        7    0.000    0.000    0.000    0.000 {range}
        2    0.000    0.000    0.000    0.000 sre_parse.py:72(opengroup)
        5    0.000    0.000    0.000    0.000 optparse.py:693(_check_const)
       11    0.000    0.000    0.000    0.000 {method 'reverse' of 'list' objects}
        3    0.000    0.000    0.000    0.000 optparse.py:243(dedent)
        5    0.000    0.000    0.000    0.000 optparse.py:699(_check_nargs)
        1    0.000    0.000    0.000    0.000 optparse.py:1654(_get_encoding)
        8    0.000    0.000    0.000    0.000 {max}
        6    0.000    0.000    0.000    0.000 optparse.py:752(takes_value)
        2    0.000    0.000    0.000    0.000 sre_parse.py:67(__init__)
        5    0.000    0.000    0.000    0.000 optparse.py:665(_check_choice)
        2    0.000    0.000    0.000    0.000 optparse.py:764(check_value)
        5    0.000    0.000    0.000    0.000 optparse.py:708(_check_callback)
        1    0.000    0.000    0.000    0.000 {sys.exit}
        3    0.000    0.000    0.000    0.000 optparse.py:239(indent)
        1    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
       15    0.000    0.000    0.000    0.000 sre_compile.py:24(_identityfunction)
        1    0.000    0.000    0.000    0.000 optparse.py:1638(format_epilog)
        1    0.000    0.000    0.000    0.000 os.py:422(__getitem__)
        1    0.000    0.000    0.000    0.000 optparse.py:959(set_conflict_handler)
        5    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        6    0.000    0.000    0.000    0.000 sre_parse.py:134(__setitem__)
        1    0.000    0.000    0.000    0.000 optparse.py:1312(_get_all_options)
        3    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 optparse.py:376(format_heading)
        1    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 optparse.py:943(_create_option_mappings)
       13    0.000    0.000    0.000    0.000 {ord}
        1    0.000    0.000    0.000    0.000 optparse.py:771(convert_value)
        1    0.000    0.000    0.000    0.000 optparse.py:1361(_get_args)
        1    0.000    0.000    0.000    0.000 optparse.py:272(format_epilog)
        2    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.000    0.000 optparse.py:964(set_description)
        1    0.000    0.000    0.000    0.000 {getattr}
        1    0.000    0.000    0.000    0.000 optparse.py:1267(_init_parsing_state)
        1    0.000    0.000    0.000    0.000 sre_parse.py:205(tell)
        2    0.000    0.000    0.000    0.000 optparse.py:755(get_opt_string)
        1    0.000    0.000    0.000    0.000 optparse.py:224(set_parser)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}


